Nombre,Apellido,Email,Nota Final,Aprobado
cruz,alfonso,calfon@educacion.navarra.es,3.36,False
rafael,canet,rcanet@educacion.navarra.es,6.7299999999999995,True
amílcar,palomares,apalom@educacion.navarra.es,5.859999999999999,True
salomé,cepeda,sceped@educacion.navarra.es,7.25,True
cayetana,saez,csaez@educacion.navarra.es,2.91,False
hernando,gomis,hgomis@educacion.navarra.es,3.48,False
manuel,barreda,mbarre@educacion.navarra.es,7.15,True
emilio,vergara,everga@educacion.navarra.es,3.4200000000000004,False
ciriaco adán,prada,cprada@educacion.navarra.es,5.01,True
toni,sierra,tsierr@educacion.navarra.es,3.2,False
anna,aguado,aaguad@educacion.navarra.es,8.07,True
maría fernanda,larrañaga,mlarra@educacion.navarra.es,7.090000000000001,True
fermín,guardia,fguard@educacion.navarra.es,3.5199999999999996,False
amado,riera,ariera@educacion.navarra.es,6.7,True
íngrid,anglada,íangla@educacion.navarra.es,2.8200000000000003,False
úrsula,mercader,úmerca@educacion.navarra.es,4.56,False
remedios,badía,rbadía@educacion.navarra.es,7.33,True
eva maría,roldán,eroldá@educacion.navarra.es,6.459999999999999,True
ildefonso jaume,seco,iseco@educacion.navarra.es,4.48,False
ana sofía,morillo,amoril@educacion.navarra.es,5.970000000000001,True
enrique,lloret,ellore@educacion.navarra.es,5.36,True
chus,estrada,cestra@educacion.navarra.es,7.92,True
adelina,garcía,agarcí@educacion.navarra.es,6.390000000000001,True
maribel,teruel,mterue@educacion.navarra.es,7.97,True
baltasar,ojeda,bojeda@educacion.navarra.es,7.34,True
cristian,garcia,cgarci@educacion.navarra.es,6.43,True
galo,lluch,glluch@educacion.navarra.es,3.6900000000000004,False
felix,espejo,fespej@educacion.navarra.es,4.71,False
herminio,cámara,hcámar@educacion.navarra.es,4.74,False
cornelio,tolosa,ctolos@educacion.navarra.es,6.329999999999999,True
remigio isidro,alcalá,ralcal@educacion.navarra.es,3.4899999999999998,False
quirino,teruel,qterue@educacion.navarra.es,5.279999999999999,True
natalia aroa,suarez,nsuare@educacion.navarra.es,7.0699999999999985,True
socorro,benavente,sbenav@educacion.navarra.es,7.650000000000001,True
iris,jiménez,ijimén@educacion.navarra.es,7.52,True
pío,nadal,pnadal@educacion.navarra.es,4.8100000000000005,False
aitana,corral,acorra@educacion.navarra.es,6.2,True
faustino,ibañez,fibañe@educacion.navarra.es,6.95,True
paola,bello,pbello@educacion.navarra.es,6.43,True
severiano,guzman,sguzma@educacion.navarra.es,7.369999999999999,True
esteban,mariño,emariñ@educacion.navarra.es,4.25,False
urbano,lladó,ulladó@educacion.navarra.es,6.47,True
sara,ruiz,sruiz@educacion.navarra.es,6.960000000000001,True
dolores,amores,damore@educacion.navarra.es,8.440000000000001,True
camilo,landa,clanda@educacion.navarra.es,7.789999999999999,True
ibán,lasa,ilasa@educacion.navarra.es,4.67,False
yésica,cases,ycases@educacion.navarra.es,8.43,True
josé,salazar,jsalaz@educacion.navarra.es,7.51,True
susana,luna,sluna@educacion.navarra.es,3.9099999999999997,False
paulina,zapata,pzapat@educacion.navarra.es,4.13,False
